<UNK> 1.0	SPN
dyédonné 1.0	d  j  e  d  ɔ  n  e  
e 1.0	ee 
e 1.0	ə  
é 1.0	ei 
é 1.0	e  
è 1.0	ai 
è 1.0	ɛ  
ében 1.0	ei bb ai nn 
ében 1.0	e  b  ɛ  n  
èché 1.0	ai ch ei 
èché 1.0	ɛ  ʃ  e  
édé'w 1.0	ei dd ei ww 
édé'w 1.0	e  d  e  w  
édé-y 1.0	ei dd ei ii 
édé-y 1.0	e  d  e  i  
édikasyon 1.0	ei dd ii kk aa zz yy on 
édikasyon 1.0	ei dd ii kk aa zz yy on nn 
édikasyon 1.0	e  d  i  k  ɑ  z  j  ɔ̃  
édikasyon 1.0	e  d  i  k  ɑ  z  j  ɔ̃  n  
édikatif 1.0	ei dd ii kk aa tt ii ff 
édikatif 1.0	e  d  i  k  ɑ  t  i  f  
édiké 1.0	ei dd ii kk ei 
édiké 1.0	e  d  i  k  e  
éé 1.0	ei ei 
éé 1.0	e  e  
éfasé 1.0	ei ff aa zz ei 
éfasé 1.0	e  f  ɑ  z  e  
éfektiman 1.0	ei ff ai kk tt ii mm an 
éfektiman 1.0	ei ff ai kk tt ii mm an nn 
éfektiman 1.0	e  f  ɛ  k  t  i  m  ɑ̃  
éfektiman 1.0	e  f  ɛ  k  t  i  m  ɑ̃  n  
éfektivman 1.0	ei ff ai kk tt ii vv mm an 
éfektivman 1.0	ei ff ai kk tt ii vv mm an nn 
éfektivman 1.0	e  f  ɛ  k  t  i  v  m  ɑ̃  
éfektivman 1.0	e  f  ɛ  k  t  i  v  m  ɑ̃  n  
éféktivman 1.0	ei ff ei kk tt ii vv mm an 
éféktivman 1.0	ei ff ei kk tt ii vv mm an nn 
éféktivman 1.0	e  f  e  k  t  i  v  m  ɑ̃  
éféktivman 1.0	e  f  e  k  t  i  v  m  ɑ̃  n  
éfèktivman 1.0	ei ff ai kk tt ii vv mm an 
éfèktivman 1.0	ei ff ai kk tt ii vv mm an nn 
éfèktivman 1.0	e  f  ɛ  k  t  i  v  m  ɑ̃  
éfèktivman 1.0	e  f  ɛ  k  t  i  v  m  ɑ̃  n  
éfèvésans 1.0	ei ff ai vv ei zz an 
éfèvésans 1.0	ei ff ai vv ei zz an zz 
éfèvésans 1.0	e  f  ɛ  v  e  z  ɑ̃  
éfèvésans 1.0	e  f  ɛ  v  e  z  ɑ̃  z  
éfèvèsans 1.0	ei ff ai vv ai zz an 
éfèvèsans 1.0	ei ff ai vv ai zz an zz 
éfèvèsans 1.0	e  f  ɛ  v  ɛ  z  ɑ̃  
éfèvèsans 1.0	e  f  ɛ  v  ɛ  z  ɑ̃  z  
effectivement 1.0	ei ff ai kk tt ii vv ee mm an 
effectivement 1.0	ei ff ai kk tt ii vv ee mm an tt 
effectivement 1.0	ei ff ai kk tt ii vv mm an 
effectivement 1.0	ei ff ai kk tt ii vv mm an tt 
effectivement 1.0	e  f  ɛ  k  t  i  v  ə  m  ɑ̃  
effectivement 1.0	e  f  ɛ  k  t  i  v  ə  m  ɑ̃  t  
effectivement 1.0	e  f  ɛ  k  t  i  v  m  ɑ̃  
effectivement 1.0	e  f  ɛ  k  t  i  v  m  ɑ̃  t  
effectivemnt 1.0	ei ff ai kk tt ii vv an nn 
effectivemnt 1.0	ei ff ai kk tt ii vv an nn tt 
effectivemnt 1.0	e  f  ɛ  k  t  i  v  ɑ̃  n  
effectivemnt 1.0	e  f  ɛ  k  t  i  v  ɑ̃  n  t  
égoistéman 1.0	ei gg ww aa ss tt ei mm an 
égoistéman 1.0	ei gg ww aa ss tt ei mm an nn 
égoistéman 1.0	e  g  w  ɑ  s  t  e  m  ɑ̃  
égoistéman 1.0	e  g  w  ɑ  s  t  e  m  ɑ̃  n  
egzanp 1.0	ai gg zz an pp 
egzanp 1.0	ɛ  g  z  ɑ̃  p  
égzisté 1.0	ei gg zz ii ss tt ei 
égzisté 1.0	e  g  z  i  s  t  e  
éi 1.0	ei ii 
éi 1.0	e  i  
ékitab 1.0	ei kk ii tt aa bb 
ékitab 1.0	e  k  i  t  ɑ  b  
ékonomi 1.0	ei kk oo nn oo mm ii 
ékonomi 1.0	e  k  ɔ  n  ɔ  m  i  
ékonomik 1.0	ei kk oo nn oo mm ii kk 
ékonomik 1.0	e  k  ɔ  n  ɔ  m  i  k  
ékta 1.0	ei kk tt aa 
ékta 1.0	e  k  t  ɑ  
ekzakteman 1.0	ai gg zz aa kk tt ee mm an 
ekzakteman 1.0	ai gg zz aa kk tt ee mm an nn 
ekzakteman 1.0	ai gg zz aa kk tt mm an 
ekzakteman 1.0	ai gg zz aa kk tt mm an nn 
ekzakteman 1.0	ɛ  g  z  ɑ  k  t  ə  m  ɑ̃  
ekzakteman 1.0	ɛ  g  z  ɑ  k  t  ə  m  ɑ̃  n  
ekzakteman 1.0	ɛ  g  z  ɑ  k  t  m  ɑ̃  
ekzakteman 1.0	ɛ  g  z  ɑ  k  t  m  ɑ̃  n  
ekzamp 1.0	ai gg zz an pp 
ekzamp 1.0	ɛ  g  z  ɑ̃  p  
ekzanp 1.0	ai gg zz an pp 
ekzanp 1.0	ɛ  g  z  ɑ̃  p  
ékzanp 1.0	ei gg zz an pp 
ékzanp 1.0	e  g  z  ɑ̃  p  
ekzat 1.0	ai gg zz aa 
ekzat 1.0	ai gg zz aa tt 
ekzat 1.0	ɛ  g  z  ɑ  
ekzat 1.0	ɛ  g  z  ɑ  t  
ekzisté 1.0	ai gg zz ii ss tt ei 
ekzisté 1.0	ɛ  g  z  i  s  t  e  
ékzisté 1.0	ei gg zz ii ss tt ei 
ékzisté 1.0	e  g  z  i  s  t  e  
elayiz 1.0	ai ll ai yy ii 
elayiz 1.0	ai ll ai yy ii zz 
elayiz 1.0	ɛ  l  ɛ  j  i  
elayiz 1.0	ɛ  l  ɛ  j  i  z  
élvé 1.0	ei ll vv ei 
élvé 1.0	e  l  v  e  
élwanyé 1.0	ei ll ww aa nn yy ei 
élwanyé 1.0	e  l  w  ɑ  ɲ  e  
émé 1.0	ei mm ei 
émé 1.0	e  m  e  
èmé 1.0	ai mm ei 
èmé 1.0	ɛ  m  e  
emil 1.0	ai mm ii ll 
emil 1.0	ɛ  m  i  l  
émil 1.0	ei mm ii ll 
émil 1.0	e  m  i  l  
en 1.0	an 
en 1.0	an nn 
en 1.0	ɑ̃  
en 1.0	ɑ̃  n  
enben 1.0	an bb ai nn 
enben 1.0	ɑ̃  b  ɛ  n  
enclave 1.0	an kk ll aa vv 
enclave 1.0	ɑ̃  k  l  ɑ  v  
enco 1.0	an kk au 
enco 1.0	ɑ̃  k  o  
endépandan 1.0	an dd ei pp an dd an 
endépandan 1.0	an dd ei pp an dd an nn 
endépandan 1.0	ɑ̃  d  e  p  ɑ̃  d  ɑ̃  
endépandan 1.0	ɑ̃  d  e  p  ɑ̃  d  ɑ̃  n  
enfants 1.0	an ff an 
enfants 1.0	an ff an zz 
enfants 1.0	ɑ̃  f  ɑ̃  
enfants 1.0	ɑ̃  f  ɑ̃  z  
enfeksyon 1.0	an ff ee kk ss yy on 
enfeksyon 1.0	an ff ee kk ss yy on nn 
enfeksyon 1.0	an ff kk ss yy on 
enfeksyon 1.0	an ff kk ss yy on nn 
enfeksyon 1.0	ɑ̃  f  ə  k  s  j  ɔ̃  
enfeksyon 1.0	ɑ̃  f  ə  k  s  j  ɔ̃  n  
enfeksyon 1.0	ɑ̃  f  k  s  j  ɔ̃  
enfeksyon 1.0	ɑ̃  f  k  s  j  ɔ̃  n  
enfèt 1.0	an ff ai 
enfèt 1.0	an ff ai tt 
enfèt 1.0	ɑ̃  f  ɛ  
enfèt 1.0	ɑ̃  f  ɛ  t  
enfin 1.0	an ff in 
enfin 1.0	an ff in nn 
enfin 1.0	ɑ̃  f  ɛ̃  
enfin 1.0	ɑ̃  f  ɛ̃  n  
enfomasyon 1.0	an ff oo mm aa zz yy on 
enfomasyon 1.0	an ff oo mm aa zz yy on nn 
enfomasyon 1.0	ɑ̃  f  ɔ  m  ɑ  z  j  ɔ̃  
enfomasyon 1.0	ɑ̃  f  ɔ  m  ɑ  z  j  ɔ̃  n  
enki 1.0	an kk ii 
enki 1.0	ɑ̃  k  i  
enkyèt 1.0	an kk yy ai 
enkyèt 1.0	an kk yy ai tt 
enkyèt 1.0	ɑ̃  k  j  ɛ  
enkyèt 1.0	ɑ̃  k  j  ɛ  t  
enmé 1.0	an mm ei 
enmé 1.0	ɑ̃  m  e  
enpa 1.0	an pp aa 
enpa 1.0	ɑ̃  p  ɑ  
enpé 1.0	an pp ei 
enpé 1.0	ɑ̃  p  e  
enpotan 1.0	an pp oo tt an 
enpotan 1.0	an pp oo tt an nn 
enpotan 1.0	ɑ̃  p  ɔ  t  ɑ̃  
enpotan 1.0	ɑ̃  p  ɔ  t  ɑ̃  n  
enpoté 1.0	an pp oo tt ei 
enpoté 1.0	ɑ̃  p  ɔ  t  e  
enprovizé 1.0	an pp rr oo vv ii zz ei 
enprovizé 1.0	ɑ̃  p  ʁ  ɔ  v  i  z  e  
ensidans 1.0	an ss ii dd an 
ensidans 1.0	an ss ii dd an zz 
ensidans 1.0	ɑ̃  s  i  d  ɑ̃  
ensidans 1.0	ɑ̃  s  i  d  ɑ̃  z  
enstri 1.0	an ss tt rr ii 
enstri 1.0	ɑ̃  s  t  ʁ  i  
enstriman 1.0	an ss tt rr ii mm an 
enstriman 1.0	an ss tt rr ii mm an nn 
enstriman 1.0	ɑ̃  s  t  ʁ  i  m  ɑ̃  
enstriman 1.0	ɑ̃  s  t  ʁ  i  m  ɑ̃  n  
ensuite 1.0	an ss uy ii tt 
ensuite 1.0	ɑ̃  s  ɥ  i  t  
entèl 1.0	an tt ai ll 
entèl 1.0	ɑ̃  t  ɛ  l  
entèltyél 1.0	an tt ai ll tt yy ei ll 
entèltyél 1.0	ɑ̃  t  ɛ  l  t  j  e  l  
entérésan 1.0	an tt ei rr ei zz an 
entérésan 1.0	an tt ei rr ei zz an nn 
entérésan 1.0	ɑ̃  t  e  ʁ  e  z  ɑ̃  
entérésan 1.0	ɑ̃  t  e  ʁ  e  z  ɑ̃  n  
entérésé 1.0	an tt ei rr ei zz ei 
entérésé 1.0	ɑ̃  t  e  ʁ  e  z  e  
entre 1.0	an tt rr 
entre 1.0	an tt rr ee 
entre 1.0	ɑ̃  t  ʁ  
entre 1.0	ɑ̃  t  ʁ  ə  
entrisman 1.0	an tt rr ii ss mm an 
entrisman 1.0	an tt rr ii ss mm an nn 
entrisman 1.0	ɑ̃  t  ʁ  i  s  m  ɑ̃  
entrisman 1.0	ɑ̃  t  ʁ  i  s  m  ɑ̃  n  
entrodui 1.0	an tt rr oo dd uy ii 
entrodui 1.0	ɑ̃  t  ʁ  ɔ  d  ɥ  i  
envité 1.0	an vv ii tt ei 
envité 1.0	ɑ̃  v  i  t  e  
envitéw 1.0	an vv ii tt ei ww 
envitéw 1.0	ɑ̃  v  i  t  e  w  
éoubyen 1.0	ei ou bb yy in 
éoubyen 1.0	ei ou bb yy in nn 
éoubyen 1.0	e  u  b  j  ɛ̃  
éoubyen 1.0	e  u  b  j  ɛ̃  n  
épé 1.0	ei pp ei 
épé 1.0	e  p  e  
épi 1.0	ei pp ii 
épi 1.0	e  p  i  
épis 1.0	ei pp ii 
épis 1.0	ei pp ii zz 
épis 1.0	e  p  i  
épis 1.0	e  p  i  z  
épok 1.0	ei pp oo kk 
épok 1.0	e  p  ɔ  k  
érésman 1.0	ei rr ei ss mm an 
érésman 1.0	ei rr ei ss mm an nn 
érésman 1.0	e  ʁ  e  s  m  ɑ̃  
érésman 1.0	e  ʁ  e  s  m  ɑ̃  n  
éro 1.0	ei rr au 
éro 1.0	e  ʁ  o  
es 1.0	ai 
es 1.0	ai zz 
es 1.0	ɛ  
es 1.0	ɛ  z  
ès 1.0	ai ss 
ès 1.0	ɛ  s  
ésa 1.0	ei zz aa 
ésa 1.0	e  z  ɑ  
éséyé 1.0	ei zz ei yy ei 
éséyé 1.0	e  z  e  j  e  
eské 1.0	ai ss kk ei 
eské 1.0	ɛ  s  k  e  
eskè 1.0	ai ss kk ai 
eskè 1.0	ɛ  s  k  ɛ  
esklav 1.0	ai ss kk ll aa vv 
esklav 1.0	ɛ  s  k  l  ɑ  v  
espéré 1.0	ai ss pp ei rr ei 
espéré 1.0	ɛ  s  p  e  ʁ  e  
espéryans 1.0	ai ss pp ei rr yy an 
espéryans 1.0	ai ss pp ei rr yy an zz 
espéryans 1.0	ɛ  s  p  e  ʁ  j  ɑ̃  
espéryans 1.0	ɛ  s  p  e  ʁ  j  ɑ̃  z  
éspès 1.0	ei ss pp ai 
éspès 1.0	ei ss pp ai zz 
éspès 1.0	e  s  p  ɛ  
éspès 1.0	e  s  p  ɛ  z  
èspès 1.0	ai ss pp ai 
èspès 1.0	ai ss pp ai zz 
èspès 1.0	ɛ  s  p  ɛ  
èspès 1.0	ɛ  s  p  ɛ  z  
espésyalman 1.0	ai ss pp ei zz yy aa ll mm an 
espésyalman 1.0	ai ss pp ei zz yy aa ll mm an nn 
espésyalman 1.0	ɛ  s  p  e  z  j  ɑ  l  m  ɑ̃  
espésyalman 1.0	ɛ  s  p  e  z  j  ɑ  l  m  ɑ̃  n  
espliké 1.0	ai ss pp ll ii kk ei 
espliké 1.0	ɛ  s  p  l  i  k  e  
espoté 1.0	ai ss pp oo tt ei 
espoté 1.0	ɛ  s  p  ɔ  t  e  
espoté-y 1.0	ai ss pp oo tt ei ii 
espoté-y 1.0	ɛ  s  p  ɔ  t  e  i  
espré 1.0	ai ss pp rr ei 
espré 1.0	ɛ  s  p  ʁ  e  
ess 1.0	ai ss 
ess 1.0	ɛ  s  
est 1.0	ai ss tt 
est 1.0	ei 
est 1.0	ei tt 
est 1.0	ɛ  s  t  
est 1.0	e  
est 1.0	e  t  
èstèbèkwè 1.0	ai ss tt ai bb ai kk ww ai 
èstèbèkwè 1.0	ɛ  s  t  ɛ  b  ɛ  k  w  ɛ  
est-il 1.0	ai ss tt ii ll 
est-il 1.0	ɛ  s  t  i  l  
et 1.0	ei 
et 1.0	e  
éta 1.0	ei tt aa 
éta 1.0	e  t  ɑ  
étalman 1.0	ei tt aa ll mm an 
étalman 1.0	ei tt aa ll mm an nn 
étalman 1.0	e  t  ɑ  l  m  ɑ̃  
étalman 1.0	e  t  ɑ  l  m  ɑ̃  n  
étapes 1.0	ei tt aa pp 
étapes 1.0	ei tt aa pp zz 
étapes 1.0	e  t  ɑ  p  
étapes 1.0	e  t  ɑ  p  z  
étazini 1.0	ei tt aa zz ii nn ii 
étazini 1.0	e  t  ɑ  z  i  n  i  
été 1.0	ei tt ei 
été 1.0	e  t  e  
étéroklit 1.0	ei tt ei rr oo kk ll ii 
étéroklit 1.0	ei tt ei rr oo kk ll ii tt 
étéroklit 1.0	e  t  e  ʁ  ɔ  k  l  i  
étéroklit 1.0	e  t  e  ʁ  ɔ  k  l  i  t  
étid 1.0	ei tt ii 
étid 1.0	ei tt ii tt 
étid 1.0	e  t  i  
étid 1.0	e  t  i  t  
ètnik 1.0	ai tt nn ii kk 
ètnik 1.0	ɛ  t  n  i  k  
étrangère 1.0	ei tt rr an jj ai rr 
étrangère 1.0	e  t  ʁ  ɑ̃  ʒ  ɛ  ʁ  
étranj 1.0	ei tt rr an jj 
étranj 1.0	e  t  ʁ  ɑ̃  ʒ  
être 1.0	ai tt rr 
être 1.0	ai tt rr ee 
être 1.0	ɛ  t  ʁ  
être 1.0	ɛ  t  ʁ  ə  
étud 1.0	ei tt uu 
étud 1.0	ei tt uu tt 
étud 1.0	e  t  y  
étud 1.0	e  t  y  t  
euh 1.0	eu 
euh 1.0	ø  
euro 1.0	eu rr au 
euro 1.0	ø  ʁ  o  
évakyé 1.0	ei vv aa kk yy ei 
évakyé 1.0	e  v  ɑ  k  j  e  
évè 1.0	ei vv ai 
évè 1.0	e  v  ɛ  
èvè 1.0	ai vv ai 
èvè 1.0	ɛ  v  ɛ  
èvè-i 1.0	ai vv ai ii 
èvè-i 1.0	ɛ  v  ɛ  i  
ève-w 1.0	ai vv dd ou bb ll ee vv ei 
ève-w 1.0	ai vv dd ou bb ll vv ei 
ève-w 1.0	ai vv ee dd ou bb ll ee vv ei 
ève-w 1.0	ai vv ee dd ou bb ll vv ei 
ève-w 1.0	ɛ  v  d  u  b  l  ə  v  e  
ève-w 1.0	ɛ  v  d  u  b  l  v  e  
ève-w 1.0	ɛ  v  ə  d  u  b  l  ə  v  e  
ève-w 1.0	ɛ  v  ə  d  u  b  l  v  e  
èvè-w 1.0	ai vv ai dd ou bb ll ee vv ei 
èvè-w 1.0	ai vv ai dd ou bb ll vv ei 
èvè-w 1.0	ɛ  v  ɛ  d  u  b  l  ə  v  e  
èvè-w 1.0	ɛ  v  ɛ  d  u  b  l  v  e  
èvè-y 1.0	ai vv ai ii 
èvè-y 1.0	ɛ  v  ɛ  i  
évidamman 1.0	ei vv ii dd aa mm an 
évidamman 1.0	ei vv ii dd aa mm an nn 
évidamman 1.0	e  v  i  d  ɑ  m  ɑ̃  
évidamman 1.0	e  v  i  d  ɑ  m  ɑ̃  n  
évité 1.0	ei vv ii tt ei 
évité 1.0	e  v  i  t  e  
évoliyé 1.0	ei vv oo ll ii yy ei 
évoliyé 1.0	e  v  ɔ  l  i  j  e  
évolyé 1.0	ei vv oo ll yy ei 
évolyé 1.0	e  v  ɔ  l  j  e  
ewopéyen 1.0	ou vv oo pp ei yy in 
ewopéyen 1.0	ou vv oo pp ei yy in nn 
ewopéyen 1.0	u  v  ɔ  p  e  j  ɛ̃  
ewopéyen 1.0	u  v  ɔ  p  e  j  ɛ̃  n  
éwopéyèn 1.0	ei ww oo pp ei yy ai nn 
éwopéyèn 1.0	e  w  ɔ  p  e  j  ɛ  n  
exactement 1.0	ai gg zz aa kk tt ee mm an 
exactement 1.0	ai gg zz aa kk tt ee mm an tt 
exactement 1.0	ai gg zz aa kk tt mm an 
exactement 1.0	ai gg zz aa kk tt mm an tt 
exactement 1.0	ɛ  g  z  ɑ  k  t  ə  m  ɑ̃  
exactement 1.0	ɛ  g  z  ɑ  k  t  ə  m  ɑ̃  t  
exactement 1.0	ɛ  g  z  ɑ  k  t  m  ɑ̃  
exactement 1.0	ɛ  g  z  ɑ  k  t  m  ɑ̃  t  
fab-la 1.0	ff aa bb ll aa 
fab-la 1.0	f  ɑ  b  l  ɑ  
façon 1.0	ff aa ss on 
façon 1.0	ff aa ss on nn 
façon 1.0	f  ɑ  s  ɔ̃  
façon 1.0	f  ɑ  s  ɔ̃  n  
faire 1.0	ff ai rr 
faire 1.0	f  ɛ  ʁ  
fait 1.0	ff ai 
fait 1.0	ff ai tt 
fait 1.0	f  ɛ  
fait 1.0	f  ɛ  t  
fal 1.0	ff aa ll 
fal 1.0	f  ɑ  l  
famille 1.0	ff aa mm ii yy 
famille 1.0	f  ɑ  m  i  j  
familles 1.0	ff aa mm ii yy 
familles 1.0	ff aa mm ii yy zz 
familles 1.0	f  ɑ  m  i  j  
familles 1.0	f  ɑ  m  i  j  z  
fanfoulich 1.0	ff an ff ou ll ii ch 
fanfoulich 1.0	f  ɑ̃  f  u  l  i  ʃ  
fanm 1.0	ff an mm 
fanm 1.0	f  ɑ̃  m  
fanm-bitasyon 1.0	ff an mm bb ii tt aa zz yy on 
fanm-bitasyon 1.0	ff an mm bb ii tt aa zz yy on nn 
fanm-bitasyon 1.0	f  ɑ̃  m  b  i  t  ɑ  z  j  ɔ̃  
fanm-bitasyon 1.0	f  ɑ̃  m  b  i  t  ɑ  z  j  ɔ̃  n  
fanme 1.0	ff an mm 
fanme 1.0	f  ɑ̃  m  
fanmi 1.0	ff an mm ii 
fanmi 1.0	f  ɑ̃  m  i  
fanmi-zotèy 1.0	ff an mm ii zz oo tt ai ii 
fanmi-zotèy 1.0	f  ɑ̃  m  i  z  ɔ  t  ɛ  i  
fannm 1.0	ff an nn mm 
fannm 1.0	f  ɑ̃  n  m  
farin 1.0	ff aa rr in 
farin 1.0	ff aa rr in nn 
farin 1.0	f  ɑ  ʁ  ɛ̃  
farin 1.0	f  ɑ  ʁ  ɛ̃  n  
fasèt 1.0	ff aa zz ai 
fasèt 1.0	ff aa zz ai tt 
fasèt 1.0	f  ɑ  z  ɛ  
fasèt 1.0	f  ɑ  z  ɛ  t  
fason 1.0	ff aa zz on 
fason 1.0	ff aa zz on nn 
fason 1.0	f  ɑ  z  ɔ̃  
fason 1.0	f  ɑ  z  ɔ̃  n  
faut 1.0	ff au 
faut 1.0	ff au tt 
faut 1.0	f  o  
faut 1.0	f  o  t  
favè 1.0	ff aa vv ai 
favè 1.0	f  ɑ  v  ɛ  
fé 1.0	ff ei 
fé 1.0	f  e  
fè 1.0	ff ai 
fè 1.0	f  ɛ  
fèmé 1.0	ff ai mm ei 
fèmé 1.0	f  ɛ  m  e  
fèmété 1.0	ff ai mm ei tt ei 
fèmété 1.0	f  ɛ  m  e  t  e  
fen 1.0	ff ai nn 
fen 1.0	f  ɛ  n  
fenfon 1.0	ff an ff on 
fenfon 1.0	ff an ff on nn 
fenfon 1.0	f  ɑ̃  f  ɔ̃  
fenfon 1.0	f  ɑ̃  f  ɔ̃  n  
fengnan 1.0	ff an nn yy an 
fengnan 1.0	ff an nn yy an nn 
fengnan 1.0	f  ɑ̃  ɲ  ɑ̃  
fengnan 1.0	f  ɑ̃  ɲ  ɑ̃  n  
fényan 1.0	ff ei nn yy an 
fényan 1.0	ff ei nn yy an nn 
fényan 1.0	f  e  ɲ  ɑ̃  
fényan 1.0	f  e  ɲ  ɑ̃  n  
fès 1.0	ff ai 
fès 1.0	ff ai zz 
fès 1.0	f  ɛ  
fès 1.0	f  ɛ  z  
fésé 1.0	ff ei zz ei 
fésé 1.0	f  e  z  e  
festif 1.0	ff ai ss tt ii ff 
festif 1.0	f  ɛ  s  t  i  f  
festive 1.0	ff ai ss tt ii vv 
festive 1.0	f  ɛ  s  t  i  v  
fèt 1.0	ff ai 
fèt 1.0	ff ai tt 
fèt 1.0	f  ɛ  
fèt 1.0	f  ɛ  t  
fété 1.0	ff ei tt ei 
fété 1.0	f  e  t  e  
fête 1.0	ff ai tt 
fête 1.0	f  ɛ  t  
fêtes 1.0	ff ai tt 
fêtes 1.0	ff ai tt zz 
fêtes 1.0	f  ɛ  t  
fêtes 1.0	f  ɛ  t  z  
févriyé 1.0	ff ei vv rr ii yy ei 
févriyé 1.0	f  e  v  ʁ  i  j  e  
fè'w 1.0	ff ai ww 
fè'w 1.0	f  ɛ  w  
fey 1.0	ff ii 
fey 1.0	f  i  
fè-y 1.0	ff ai ii 
fè-y 1.0	f  ɛ  i  
fè’y 1.0	ff ai 
fè’y 1.0	f  ɛ  
fèy 1.0	ff ai ii 
fèy 1.0	f  ɛ  i  
fi 1.0	ff ii 
fi 1.0	f  i  
fianmizi 1.0	ff yy an mm ii zz ii 
fianmizi 1.0	f  j  ɑ̃  m  i  z  i  
fidèlité 1.0	ff ii dd ai ll ii tt ei 
fidèlité 1.0	f  i  d  ɛ  l  i  t  e  
fier 1.0	ff yy ai rr 
fier 1.0	ff yy ei 
fier 1.0	f  j  ɛ  ʁ  
fier 1.0	f  j  e  
fifi 1.0	ff ii ff ii 
fifi 1.0	f  i  f  i  
figi 1.0	ff ii jj ii 
figi 1.0	f  i  ʒ  i  
figue 1.0	ff ii gg 
figue 1.0	f  i  g  
fiks 1.0	ff ii kk 
fiks 1.0	ff ii kk zz 
fiks 1.0	f  i  k  
fiks 1.0	f  i  k  z  
fil 1.0	ff ii ll 
fil 1.0	f  i  l  
filé 1.0	ff ii ll ei 
filé 1.0	f  i  l  e  
fils 1.0	ff ii ss 
fils 1.0	f  i  s  
fim 1.0	ff ii mm 
fim 1.0	f  i  m  
fin 1.0	ff in 
fin 1.0	ff in nn 
fin 1.0	f  ɛ̃  
fin 1.0	f  ɛ̃  n  
finalman 1.0	ff ii nn aa ll mm an 
finalman 1.0	ff ii nn aa ll mm an nn 
finalman 1.0	f  i  n  ɑ  l  m  ɑ̃  
finalman 1.0	f  i  n  ɑ  l  m  ɑ̃  n  
fini 1.0	ff ii nn ii 
fini 1.0	f  i  n  i  
fininalman 1.0	ff ii nn ii nn aa ll mm an 
fininalman 1.0	ff ii nn ii nn aa ll mm an nn 
fininalman 1.0	f  i  n  i  n  ɑ  l  m  ɑ̃  
fininalman 1.0	f  i  n  i  n  ɑ  l  m  ɑ̃  n  
fisèl 1.0	ff ii zz ai ll 
fisèl 1.0	f  i  z  ɛ  l  
fiy 1.0	ff yy ii 
fiy 1.0	f  j  i  
fiyansay 1.0	ff ii yy an ss aa ii 
fiyansay 1.0	f  i  j  ɑ̃  s  ɑ  i  
fiyè 1.0	ff ii yy ai 
fiyè 1.0	f  i  j  ɛ  
flanm 1.0	ff ll an mm 
flanm 1.0	f  l  ɑ̃  m  
flè 1.0	ff ll ai 
flè 1.0	f  l  ɛ  
flègèdènou 1.0	ff ll ai jj ai dd ai nn ou 
flègèdènou 1.0	f  l  ɛ  ʒ  ɛ  d  ɛ  n  u  
fléri 1.0	ff ll ei rr ii 
fléri 1.0	f  l  e  ʁ  i  
flora 1.0	ff ll oo rr aa 
flora 1.0	f  l  ɔ  ʁ  ɑ  
florid 1.0	ff ll oo rr ii 
florid 1.0	ff ll oo rr ii tt 
florid 1.0	f  l  ɔ  ʁ  i  
florid 1.0	f  l  ɔ  ʁ  i  t  
fo 1.0	ff au 
fo 1.0	f  o  
fois 1.0	ff ww aa 
fois 1.0	ff ww aa zz 
fois 1.0	f  w  ɑ  
fois 1.0	f  w  ɑ  z  
fol 1.0	ff oo ll 
fol 1.0	f  ɔ  l  
fom 1.0	ff on 
fom 1.0	f  ɔ̃  
fon 1.0	ff on 
fon 1.0	ff on nn 
fon 1.0	f  ɔ̃  
fon 1.0	f  ɔ̃  n  
fonksyon 1.0	ff on kk ss yy on 
fonksyon 1.0	ff on kk ss yy on nn 
fonksyon 1.0	f  ɔ̃  k  s  j  ɔ̃  
fonksyon 1.0	f  ɔ̃  k  s  j  ɔ̃  n  
fonmé 1.0	ff on mm ei 
fonmé 1.0	f  ɔ̃  m  e  
formation 1.0	ff oo rr mm aa ss yy on 
formation 1.0	ff oo rr mm aa ss yy on nn 
formation 1.0	f  ɔ  ʁ  m  ɑ  s  j  ɔ̃  
formation 1.0	f  ɔ  ʁ  m  ɑ  s  j  ɔ̃  n  
forme 1.0	ff oo rr mm 
forme 1.0	ff oo rr mm ee 
forme 1.0	f  ɔ  ʁ  m  
forme 1.0	f  ɔ  ʁ  m  ə  
fos 1.0	ff au 
fos 1.0	ff au zz 
fos 1.0	f  o  
fos 1.0	f  o  z  
fosé 1.0	ff oo zz ei 
fosé 1.0	f  ɔ  z  e  
foséman 1.0	ff oo zz ei mm an 
foséman 1.0	ff oo zz ei mm an nn 
foséman 1.0	f  ɔ  z  e  m  ɑ̃  
foséman 1.0	f  ɔ  z  e  m  ɑ̃  n  
foséw 1.0	ff oo zz ei ww 
foséw 1.0	f  ɔ  z  e  w  
foséyè 1.0	ff oo zz ei yy ai 
foséyè 1.0	f  ɔ  z  e  j  ɛ  
foto 1.0	ff oo tt au 
foto 1.0	f  ɔ  t  o  
fou 1.0	ff ou 
fou 1.0	f  u  
foula 1.0	ff ou ll aa 
foula 1.0	f  u  l  ɑ  
foumi 1.0	ff ou mm ii 
foumi 1.0	f  u  m  i  
four 1.0	ff ou rr 
four 1.0	f  u  ʁ  
fouré 1.0	ff ou rr ei 
fouré 1.0	f  u  ʁ  e  
fout 1.0	ff ou 
fout 1.0	ff ou tt 
fout 1.0	f  u  
fout 1.0	f  u  t  
fouté 1.0	ff ou tt ei 
fouté 1.0	f  u  t  e  
foutépamal 1.0	ff ou tt ei pp aa mm aa ll 
